n,null_pct,n_unique,dtype,unhashable,zero_pct,min,max,mean,std,degenerate,file,column
1038974,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,gtex_max_abs_effect
1038974,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,codon_position
1038974,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,omim_n_diseases
1038974,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,omim_is_autosomal_dominant
1038974,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,clingen_validity_score
1038974,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,dbsnp_af
1038974,0.0,1,float64,False,0.0,0.5,0.5,0.5,0.0,CONSTANT,meta_train.parquet,eve_score
1038974,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,hgmd_is_disease_mutation
1038974,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,hgmd_n_reports
1038974,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,maxentscan_score
1038974,0.0,1,int64,False,0.0,50.0,50.0,50.0,0.0,CONSTANT,meta_train.parquet,dist_to_splice_site
1038974,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,exon_number
1038974,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,is_canonical_splice
1038974,0.0,1,float64,False,0.0,50.0,50.0,50.0,0.0,CONSTANT,meta_train.parquet,alphafold_plddt
1038974,0.0,1,float64,False,0.0,0.5,0.5,0.5,0.0,CONSTANT,meta_train.parquet,solvent_accessibility
1038974,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,secondary_structure_context
1038974,0.0,1,float64,False,0.0,100.0,100.0,100.0,0.0,CONSTANT,meta_train.parquet,dist_to_active_site
